siteID,dateGMT,timeGMT,status,CO_COconc_channel,CO_COconc_flag,CO_COconc_value,O3_O3conc_channel,O3_O3conc_flag,O3_O3conc_value,SO2_SO2Conc_channel,SO2_SO2Conc_flag,SO2_SO2Conc_value,NOx_NO2conc_channel,NOx_NO2conc_flag,NOx_NO2conc_value,NOx_NOconc_channel,NOx_NOconc_flag,NOx_NOconc_value,NOy_NOyconc_channel,NOy_NOyconc_flag,NOy_NOyconc_value,TRH_Temp_channel,TRH_Temp_flag,TRH_Temp_value,TRH_RH_channel,TRH_RH_flag,TRH_RH_value,Baro_Press_channel,Baro_Press_flag,Baro_Press_value,RMY_WD_channel,RMY_WD_flag,RMY_WD_value,RMY_WS_channel,RMY_WS_flag,RMY_WS_value,Rain_Precip_channel,Rain_Precip_flag,Rain_Precip_value,QCref_channel,QCref_flag,QCref_value,QCstatus_channel,QCstatus_flag,QCstatus_value
695,23/09/20,05:00:00,0,27,Q,0,25,K,42.346,26,Q,0,29,K,10.037,28,K,0.055,34,K,4.037,6,K,80.293,38,K,55.351,9,K,1006.995,2,K,144.039,1,K,8.609,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:05:00,0,27,Q,0,25,K,42.705,26,Q,0,29,K,8.929,28,K,0.049,34,K,3.637,6,K,80.210,38,K,55.503,9,K,1006.869,2,K,149.828,1,K,8.418,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:10:00,0,27,Q,0,25,K,42.818,26,K,0.216,29,K,8.159,28,K,0.035,34,K,3.397,6,K,80.087,38,K,55.581,9,K,1006.829,2,K,146.954,1,K,7.846,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:15:00,0,27,K,132.459,25,K,43.150,26,K,0.137,29,K,7.412,28,K,0.026,34,K,3.157,6,K,80.017,38,K,55.623,9,K,1006.795,2,K,146.606,1,K,8.882,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:20:00,0,27,K,134.923,25,K,42.654,26,K,0.119,29,K,7.129,28,K,0.057,34,K,3.075,6,K,79.901,38,K,55.866,9,K,1006.773,2,K,145.942,1,K,8.485,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:25:00,0,27,K,136.388,25,K,43.140,26,K,0.129,29,K,6.383,28,K,0.025,34,K,2.845,6,K,79.825,38,K,56.003,9,K,1006.820,2,K,147.777,1,K,8.459,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:30:00,0,27,K,134.571,25,K,42.524,26,K,0.085,29,K,8.048,28,K,0.071,34,K,3.464,6,K,79.784,38,K,56.058,9,K,1006.823,2,K,141.544,1,K,9.351,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:35:00,0,27,K,131.499,25,K,41.715,26,K,0.127,29,K,9.151,28,K,0.089,34,K,3.687,6,K,79.618,38,K,56.515,9,K,1006.826,2,K,142.301,1,K,9.174,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:40:00,0,27,K,128.875,25,K,42.044,26,K,0.187,29,K,8.648,28,K,0.032,34,K,3.631,6,K,79.560,38,K,56.723,9,K,1006.805,2,K,140.420,1,K,8.784,8,K,0.000,50,K,0,51,K,99000
695,23/09/20,05:45:00,0,27,K,124.747,25,K,40.706,26,K,0.123,29,K,10.464,28,K,0.058,34,K,4.152,6,K,79.438,38,K,57.184,9,K,1006.825,2,K,144.547,1,K,7.211,8,K,0.000,50,K,0,51,K,99000
