OBJECTID,GID,RR_ABRVN,RR_COMPANY,RR_STATUS,RR_TYP,RR_NBR,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,SHAPE_Length,WKT
1,86,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0005511345028990653,"MULTILINESTRING ((-98.22972847999995 29.652609020000057, -98.23011470599994 29.652215855000065))"
2,87,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0001518982625341776,"MULTILINESTRING ((-98.25912143099998 29.634277002000033, -98.25899051499994 29.634354035000058))"
3,88,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.005447565659237145,"MULTILINESTRING ((-95.10361504799994 29.52898875300008, -95.10575656899994 29.531291343000078, -95.10590913699997 29.531429296000056, -95.10607758299994 29.531545576000042, -95.10628396999994 29.53165085100005, -95.10650583699999 29.531728458000032, -95.10673833299995 29.531776672000035, -95.10697639999995 29.531794442000034, -95.10721001699994 29.531782018000058, -95.10744387399996 29.53173907400003, -95.10766351299998 29.531668296000078, -95.10788745599996 29.53156341300007))"
4,89,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.003650181805382728,"MULTILINESTRING ((-95.10667254899994 29.52595489600003, -95.10647782999996 29.525679430000025, -95.10632727099994 29.525401685000077, -95.10622961299998 29.525157297000078, -95.10605043699996 29.524583103000055, -95.10597963699996 29.52442466100007, -95.10588920399994 29.524267870000074, -95.10581034799998 29.52415565700005, -95.10572242999996 29.524048708000066, -95.10471269999994 29.522936618000074))"
5,90,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.026626930290353425,"MULTILINESTRING ((-95.41293790899994 30.07087647900005, -95.41271566799998 30.070539806000056, -95.40840743099994 30.06471188200004, -95.40815981999998 30.064357302000076, -95.40798803099995 30.06408602600004, -95.40782760999997 30.063809535000075, -95.40767876799998 30.06352818000005, -95.40754173199997 30.06324234300007, -95.40741668199996 30.062952386000063, -95.40730371599994 30.06265865200004, -95.40720307399994 30.062361579000026, -95.40711325199999 30.062055869000062, -95.40471850599994 30.05322674000007, -95.40464412799997 30.05290526600004, -95.40459629699996 30.052597115000026, -95.40457079599997 30.05228696100005, -95.40456767999996 30.051976036000042, -95.40458697899999 30.051665547000027, -95.40462863099998 30.05135671100004, -95.40469242399996 30.051050790000033, -95.404778175 30.050748906000024, -95.40488547299998 30.050452328000063, -95.40622176099998 30.04712653300004, -95.40629247599998 30.04691809800005, -95.40634524499995 30.04670046800004))"
6,91,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.02392420680971384,"MULTILINESTRING ((-95.41209764699994 30.069231478000063, -95.41187541899995 30.06889477800007, -95.40866654799999 30.064553966000062, -95.40838575999999 30.064146493000067, -95.40822851399997 30.063892527000064, -95.40808152799997 30.063633964000076, -95.40794496199999 30.063371093000057, -95.40781663899998 30.063098996000065, -95.40770164299994 30.062828438000054, -95.40759749699998 30.06255457900005, -95.40750440499994 30.06227771300007, -95.40742092799996 30.061992711000073, -95.40502473399994 30.053158371000052, -95.40495794399999 30.05287049700007, -95.40491199699994 30.05257952200003, -95.40488714299994 30.05228663300005, -95.40488344199997 30.051992952000035, -95.40490138799998 30.051694330000032, -95.40494033199997 30.051402592000045, -95.40500022799995 30.05111355500003, -95.40508083399999 30.05082836400004, -95.405183863 30.05054307200004, -95.40618232599996 30.048051921000024, -95.40623762099995 30.04787381600005, -95.40627902399996 30.047692891000054, -95.40630549399998 30.047518182000033, -95.40632244999995 30.04731252600004))"
7,92,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.022318403115248554,"MULTILINESTRING ((-95.41167749399995 30.068408916000067, -95.41127040099997 30.067615815000067, -95.41115921899996 30.067429651000054, -95.41103517599998 30.06724973400003, -95.40891939999995 30.064387427000042, -95.40875220399994 30.06414944900007, -95.40859165699999 30.06390176000008, -95.40832213799996 30.063432116000058, -95.40808630499998 30.06294303900006, -95.407888185 30.06244145100004, -95.40772861399995 30.061929563000035, -95.405332462 30.053095548000044, -95.40527251699996 30.05283942500006, -95.40522820099994 30.052565686000037, -95.40520344899994 30.052285038000036, -95.40519922199996 30.05200860900004, -95.40521541099997 30.051727484000025, -95.40525135199994 30.051452807000032, -95.40530818699995 30.051175715000056, -95.40538527099994 30.05090233800007, -95.40548222299998 30.05063382000003, -95.406036353 30.049254038000072, -95.40615838999997 30.048897185000044, -95.40623276699995 30.048610435000057, -95.40628740499994 30.04832034700007, -95.40632315199997 30.048016202000042, -95.40633339799996 30.04775464800008))"
8,93,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.028443575753752712,"MULTILINESTRING ((-95.40650409199998 30.046007761000055, -95.40472535599997 30.050434404000043, -95.40463512799994 30.050683813000035, -95.40456120199997 30.050931279000054, -95.40449353299994 30.051221687000066, -95.40444613699998 30.051509276000047, -95.40441727999996 30.051804539000045, -95.40440818699994 30.052094956000076, -95.40441851499997 30.05239113700003, -95.40444788099995 30.05268053900005, -95.40449730399996 30.052973759000054, -95.40456468899998 30.05325828900004, -95.40696099099995 30.062093202000028, -95.40706345899997 30.062438119000035, -95.40717155299996 30.062750833000052, -95.40729305399998 30.063059816000077, -95.40742780799997 30.063364585000045, -95.40757278799998 30.063659356000073, -95.40773319899995 30.06395459400005, -95.40790297399997 30.064239189000034, -95.40808814499997 30.064523240000028, -95.40828175099995 30.064796070000057, -95.41340354 30.071724447000065))"
9,94,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.025239396105767645,"MULTILINESTRING ((-95.41251774399996 30.07005388700003, -95.41230198499994 30.06972607700004, -95.40854766699994 30.064647361000027, -95.40836014599995 30.06438314600007, -95.40818082699997 30.064108057000055, -95.40801350699996 30.06382731700006, -95.407858391 30.06354131100005, -95.40771571499994 30.06325044700003, -95.40758569399998 30.06295512300005, -95.40746849099997 30.06265578400007, -95.40736428899999 30.062352816000043, -95.40726861199994 30.062029903000052, -95.40487232599997 30.053195149000032, -95.40481188899997 30.052942194000025, -95.40476712999998 30.052686796000046, -95.40473818499999 30.052429673000063, -95.404724994 30.052166073000024, -95.40472816499994 30.051907716000073, -95.40474780799997 30.051644413000076, -95.404783093 30.051387893000026, -95.40483536099998 30.051127989000065, -95.40491360099998 30.050839078000024, -95.40501213699997 30.050554894000072, -95.406152465 30.047715925000034, -95.40621232399997 30.04755041100003, -95.40626004599994 30.04738193600008, -95.40629545699994 30.04721116500008, -95.40631844299998 30.047038798000074))"
10,95,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.022444858575974853,"MULTILINESTRING ((-95.41167749399995 30.068408916000067, -95.41146178099996 30.06808105300007, -95.40881359599996 30.064498625000056, -95.40862892099994 30.064238259000035, -95.40845564999995 30.06397203800003, -95.408293986 30.06370036800007, -95.40814415099999 30.063423603000047, -95.40800634599998 30.063142150000033, -95.40788080699997 30.06285639300006, -95.40776765099997 30.06256673200005, -95.407667055 30.062273606000076, -95.40757624199995 30.061966565000034, -95.40517998999997 30.05313202800005, -95.40512510499997 30.052903684000057, -95.40508303399997 30.052668079000057, -95.40505566099995 30.05243604700007, -95.40504187 30.05219789800003, -95.40504229099997 30.051964646000044, -95.40505693899996 30.051726562000056, -95.40508512399998 30.051494611000066, -95.40512805299994 30.051259102000074, -95.40520377399997 30.050960495000027, -95.405302383 30.050666987000056, -95.40615995799999 30.04853057100007, -95.40622715799998 30.048341840000035, -95.40627919399998 30.048146732000077, -95.40631403199995 30.04795423300004, -95.40633339799996 30.04775464800008))"
